engine_id,engine_name,engine_platforms,engines_companies
1170,T-Engine,undefined,undefined
1117,Google Cloud Platform,undefined,undefined
1136,HDAurora,undefined,undefined
490,Bedrock Engine,undefined,undefined
551,android studio,undefined,undefined
1209,Tenka Touitsu ADVANCE,undefined,undefined
602,StageMechanic,undefined,undefined
770,Turok,undefined,undefined
832,ZZT,undefined,undefined
5,NeL,undefined,undefined
304,The Reality Engine,undefined,8601;
823,YU-RIS Script Engine,undefined,undefined
769,GEM2,undefined,undefined
873,UE4,undefined,undefined
581,Granny 3D,undefined,undefined
842,MascotCapsule,undefined,undefined
844,inkscape,undefined,undefined
589,Macromedia Director,undefined,undefined
871,Freespace 2,undefined,undefined
845,FS,undefined,undefined
847,AnyWorld,undefined,undefined
348,Macromedia,undefined,undefined
874,krkr2,undefined,undefined
592,SRPG Studio,undefined,undefined
324,mobile,undefined,undefined
879,Alicesoft System 3.9,undefined,undefined
573,Naughty Dog Engine,undefined,undefined
566,web gl,undefined,undefined
828,SiglusEngine,undefined,undefined
568,DoomRPG,undefined,undefined
572,GlyphX,undefined,undefined
1253,FlixEngine,undefined,undefined
24,REDengine,6;12;14;48;49;,908;
1265,Southpaw,undefined,undefined
691,VueJS,undefined,undefined
579,C-Engine,undefined,undefined
580,AEGIS,undefined,undefined
1337,DoJa,undefined,undefined
578,Liquid Engine,undefined,undefined
583,OWI Core,undefined,undefined
584,PTK Toolkit,undefined,undefined
585,VERGE,undefined,undefined
595,FNA,undefined,undefined
591,SceneKit,undefined,undefined
846,ADV Player HD,undefined,undefined
683,Schmetterling 2.0,undefined,undefined
771,STEM engine,undefined,undefined
827,bruns,undefined,undefined
1141,Versu,undefined,undefined
878,super mario,undefined,undefined
69,Build,3;6;13;14;,188;224;
576,Slipspace Engine,undefined,undefined
1280,MS26,undefined,undefined
1049,Raconteur,undefined,undefined
746,BGI/Ethornell,undefined,undefined
575,CryEngine 5,undefined,undefined
385,Adventure Creator,undefined,undefined
877,Blackbox Engine,undefined,undefined
369,libgdx,undefined,undefined
370,Spritekit,undefined,undefined
884,LMMS,undefined,undefined
986,Audacity,undefined,undefined
1005,Pheonix 3D engine,undefined,undefined
477,D3D,undefined,undefined
1003,Konami GX945,undefined,undefined
261,Soft Engine,undefined,undefined
1232,Intersect Engine,undefined,undefined
886,openBOR,undefined,undefined
337,Void Engine,undefined,undefined
355,Titanium,undefined,undefined
